Respondent ID;Gender;Age;Nationality;Nationality_4_TEXT;Living;HHSize;StreamingUsage;Device;UnaidedbrandrecallDisney;WTP;Pastime;Entertainment;Recommendation;ZStreamingUsage;ZEntertainment;ZRecommendation;ZPastime
86;1;19;2; ;1;4;3;1;1;8;5;7;4;0,13275;1,466704582;0,058078087;0,808642864
87;2;18;2; ;1;4;2;2;0;0;6;6,5;3;-0,55311;0,88701582;-0,813093212;1,456791725
88;2;19;2; ;3;1;2;1;1;13;2;5,5;3,75;-0,55311;0,88701582;-0,159714738;-1,135803718
89;2;19;2; ;3;1;2;1;1;13;2;5,5;3,75;-0,55311;0,88701582;-0,159714738;-1,135803718
90;1;22;4;Finnish;3;1;3;1;0;12;3;5;3,75;0,13275;-0,658820879;-0,159714738;-0,487654857
91;1;22;4;Singaporean;1;2;1;4;0;10;3;5;4;-1,23897;-0,658820879;0,058078087;-0,487654857
92;1;23;4;Singaporean;1;4;2;1;1;12;3;5;3;-0,55311;-0,658820879;-0,813093212;-0,487654857
93;2;21;4;Vietnamese;2;7;4;1;0;10;6;5;2,75;0,8186;-0,658820879;-1,030886036;1,456791725
94;2;19;2; ;2;2;2;1;0;7;3;4;3,75;-0,55311;0,114097471;-0,159714738;-0,487654857
95;2;18;2; ;1;4;2;3;0;10;5;7;6;-0,55311;-1,818198403;1,800420683;0,808642864
96;1;21;2; ;3;1;3;1;0;10;2;1,5;4;0,13275;-0,852050466;0,058078087;-1,135803718
97;2;20;2; ;1;4;3;4;1;10;5;6;2,25;0,13275;0,88701582;-1,466471685;0,808642864
98;2;19;2; ;3;1;4;4;0;0;4;7;2,25;0,8186;1,466704582;-1,466471685;0,160494004
99;2;20;3; ;1;5;0;1;0;0;2;4,5;6,25;-1,92482;-0,658820879;2,018213507;-1,135803718
100;1;24;1; ;3;1;1;4;1;10;3;5;4,75;-1,23897;0,693786233;0,71145656;-0,487654857
101;2;19;2; ;3;1;2;1;1;13;2;5,5;3,75;-0,55311;0,88701582;-0,159714738;-1,135803718
102;2;18;3; ;2;4;6;1;0;10;2;5;6;2,19031;-0,658820879;1,800420683;-1,135803718
103;1;49;3; ;1;5;3;4;0;10;2;4;6;0,13275;0,307327058;1,800420683;-1,135803718
104;1;19;1; ;2;2;4;4;0;5;3;6;2,75;0,8186;0,88701582;-1,030886036;-0,487654857
105;1;18;3; ;2;5;2;1;0;0;5;6;2,75;-0,55311;0,693786233;-1,030886036;0,808642864
